Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
10,NCD_BMI_18A,COUNTRY,QAT,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.5 [1.5-3.8],2.47721,1.50048,3.80537,,2024-02-29T16:06:41Z,2019,01-01-2019,31-12-2019
887,NCD_BMI_18A,COUNTRY,KGZ,EUR,Europe,YEAR,2015,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.9 [2.7-5.3],3.86191,2.69511,5.3331,,2024-02-29T16:06:41Z,2015,01-01-2015,31-12-2015
1010,NCD_BMI_18A,COUNTRY,COL,AMR,Americas,YEAR,2009,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.2 [2.8-3.6],3.16554,2.75581,3.60584,,2024-02-29T16:06:41Z,2009,01-01-2009,31-12-2009
1439,NCD_BMI_18A,COUNTRY,BRN,WPR,Western Pacific,YEAR,2016,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.8 [3.1-7.1],4.84305,3.08324,7.10398,,2024-02-29T16:06:41Z,2016,01-01-2016,31-12-2016
2014,NCD_BMI_18A,COUNTRY,QAT,EMR,Eastern Mediterranean,YEAR,2009,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.8 [1.9-3.9],2.8113,1.93826,3.88003,,2024-02-29T16:06:41Z,2009,01-01-2009,31-12-2009
2365,NCD_BMI_18A,COUNTRY,MDA,EUR,Europe,YEAR,2022,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.1 [0.5-2.0],1.09678,0.47808,2.02862,,2024-02-29T16:06:41Z,2022,01-01-2022,31-12-2022
3735,NCD_BMI_18A,COUNTRY,SRB,EUR,Europe,YEAR,1992,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.0 [3.5-6.8],4.99049,3.49148,6.79094,,2024-02-29T16:06:41Z,1992,01-01-1992,31-12-1992
4437,NCD_BMI_18A,COUNTRY,PYF,WPR,Western Pacific,YEAR,2008,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,0.7 [0.3-1.5],0.72271,0.26801,1.4603,,2024-02-29T16:06:41Z,2008,01-01-2008,31-12-2008
4526,NCD_BMI_18A,COUNTRY,GNB,AFR,Africa,YEAR,2020,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,9.7 [5.3-15.2],9.70444,5.32748,15.15123,,2024-02-29T16:06:41Z,2020,01-01-2020,31-12-2020
5689,NCD_BMI_18A,COUNTRY,KNA,AMR,Americas,YEAR,2005,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.7 [1.6-6.9],3.696,1.55246,6.88879,,2024-02-29T16:06:41Z,2005,01-01-2005,31-12-2005
6002,NCD_BMI_18A,COUNTRY,ARG,AMR,Americas,YEAR,1998,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.6 [1.9-3.5],2.63496,1.92119,3.47702,,2024-02-29T16:06:41Z,1998,01-01-1998,31-12-1998
6339,NCD_BMI_18A,COUNTRY,SGP,WPR,Western Pacific,YEAR,2021,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,10.2 [7.1-13.8],10.22543,7.14427,13.78918,,2024-02-29T16:06:41Z,2021,01-01-2021,31-12-2021
7045,NCD_BMI_18A,COUNTRY,NZL,WPR,Western Pacific,YEAR,1995,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,0.9 [0.6-1.3],0.93416,0.61169,1.32897,,2024-02-29T16:06:41Z,1995,01-01-1995,31-12-1995
7652,NCD_BMI_18A,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2014,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,17.5 [15.7-19.2],17.47828,15.68609,19.24677,,2024-02-29T16:06:41Z,2014,01-01-2014,31-12-2014
9397,NCD_BMI_18A,COUNTRY,WSM,WPR,Western Pacific,YEAR,2003,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,0.6 [0.3-1.2],0.64562,0.30985,1.16779,,2024-02-29T16:06:41Z,2003,01-01-2003,31-12-2003
9398,NCD_BMI_18A,COUNTRY,GUY,AMR,Americas,YEAR,2021,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.4 [3.9-9.3],6.35785,3.9286,9.33156,,2024-02-29T16:06:41Z,2021,01-01-2021,31-12-2021
10454,NCD_BMI_18A,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,1993,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.2 [2.8-5.8],4.15976,2.81603,5.82804,,2024-02-29T16:06:41Z,1993,01-01-1993,31-12-1993
10543,NCD_BMI_18A,COUNTRY,ATG,AMR,Americas,YEAR,2013,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.9 [1.0-12.7],4.94635,0.98034,12.74583,,2024-02-29T16:06:41Z,2013,01-01-2013,31-12-2013
11071,NCD_BMI_18A,COUNTRY,COD,AFR,Africa,YEAR,2016,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,15.6 [12.8-18.5],15.59187,12.79813,18.53512,,2024-02-29T16:06:41Z,2016,01-01-2016,31-12-2016
11456,NCD_BMI_18A,COUNTRY,LCA,AMR,Americas,YEAR,2015,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.6 [2.4-5.1],3.6447,2.40677,5.11445,,2024-02-29T16:06:41Z,2015,01-01-2015,31-12-2015
11526,NCD_BMI_18A,COUNTRY,PYF,WPR,Western Pacific,YEAR,2010,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.3 [1.2-3.7],2.28664,1.22973,3.73769,,2024-02-29T16:06:41Z,2010,01-01-2010,31-12-2010
