Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
55,NCD_BMI_18C,COUNTRY,GAB,AFR,Africa,YEAR,2021,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.8 [4.0-8.1],5.79511,3.97204,8.07702,,2024-02-29T16:06:41Z,2021,2021-01-01,2021-12-31
394,NCD_BMI_18C,COUNTRY,TUV,WPR,Western Pacific,YEAR,2001,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,0.9 [0.4-1.9],0.93657,0.36515,1.85929,,2024-02-29T16:06:41Z,2001,2001-01-01,2001-12-31
1565,NCD_BMI_18C,COUNTRY,GHA,AFR,Africa,YEAR,2002,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,13.2 [10.0-16.7],13.20428,10.04854,16.71203,,2024-02-29T16:06:41Z,2002,2002-01-01,2002-12-31
1927,NCD_BMI_18C,COUNTRY,TCD,AFR,Africa,YEAR,1990,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,23.2 [17.8-29.0],23.20135,17.80808,28.9902,,2024-02-29T16:06:41Z,1990,1990-01-01,1990-12-31
2133,NCD_BMI_18C,COUNTRY,MNG,WPR,Western Pacific,YEAR,2017,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.1 [2.4-3.8],3.09065,2.42823,3.84215,,2024-02-29T16:06:41Z,2017,2017-01-01,2017-12-31
2433,NCD_BMI_18C,COUNTRY,SLE,AFR,Africa,YEAR,2016,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.4 [6.7-10.3],8.37172,6.65567,10.25312,,2024-02-29T16:06:41Z,2016,2016-01-01,2016-12-31
3556,NCD_BMI_18C,COUNTRY,NIU,WPR,Western Pacific,YEAR,1990,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.3 [0.5-2.7],1.30087,0.45801,2.71147,,2024-02-29T16:06:41Z,1990,1990-01-01,1990-12-31
3878,NCD_BMI_18C,REGION,SEAR,,,YEAR,2021,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,13.3 [12.2-14.4],13.33635,12.24232,14.44287,,2024-02-29T16:06:41Z,2021,2021-01-01,2021-12-31
4265,NCD_BMI_18C,REGION,SEAR,,,YEAR,2007,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,24.3 [23.0-25.5],24.27163,23.01745,25.53203,,2024-02-29T16:06:41Z,2007,2007-01-01,2007-12-31
4729,NCD_BMI_18C,COUNTRY,QAT,EMR,Eastern Mediterranean,YEAR,2014,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.2 [1.3-3.5],2.20807,1.25384,3.51682,,2024-02-29T16:06:41Z,2014,2014-01-01,2014-12-31
